Id,Name,Address,City,State,Zip,Website
1,ADVENTHEALTH UNIVERSITY,671 WINYAH DRIVE,ORLANDO,FL,32803,www.ahu.edu/
2,FLORIDA CAREER COLLEGE-BOYNTON BEACH,1743 NORTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,https://www.floridacareercollege.edu/
3,TREND BARBER COLLEGE,14806 ELLA BLVD.,HOUSTON,TX,77090,trendbarbercollege.com/
4,STRAYER UNIVERSITY-PENNSYLVANIA,3800 HORIZON BLVD STE 100,TREVOSE,PA,19053,https://www.strayer.edu/campus-locations/pennsylvania/lower-bucks-county
5,JOLIE HEALTH & BEAUTY ACADEMY-CHERRY HILL,1490 BERLIN RD STE 21,CHERRY HILL,NJ,08003,jolieacademy.com/
6,SAN FRANCISCO FILM SCHOOL,155 SANSOME STREET 2ND FLOOR,SAN FRANCISCO,CA,94104,www.filmschoolsf.com/
7,REND LAKE COLLEGE,468 N KEN GRAY PKWY,INA,IL,62846,www.rlc.edu/
8,WAUBONSEE COMMUNITY COLLEGE,RTE 47 AT WAUBONSEE DRIVE,SUGAR GROVE,IL,60554,https://www.waubonsee.edu/
9,MIAMI UNIVERSITY-MIDDLETOWN,4200 E UNIVERSITY BLVD,MIDDLETOWN,OH,45042,miamioh.edu/regionals/
10,CENTRAL YESHIVA BETH JOSEPH,1502 AVENUE N,BROOKLYN,NY,11230,https://centralyeshivabethjoseph.com/
11,WESTERN TECHNICAL COLLEGE,9451 DIANA DRIVE,EL PASO,TX,79924,www.westerntech.edu/
12,TULSA TECHNOLOGY CENTER,3420 S MEMORIAL DRIVE,TULSA,OK,74145,https://tulsatech.edu/
13,CHAMBERLAIN UNIVERSITY-OHIO,1350 ALUM CREEK DRIVE,COLUMBUS,OH,43209,https://www.chamberlain.edu/
14,UNITED THEOLOGICAL SEMINARY,4501 DENLINGER RD.,DAYTON,OH,45426,www.united.edu/
15,HOLY FAMILY COLLEGE,2406 S ALVERNO RD,MANITOWOC,WI,54220,NOT AVAILABLE
16,BUENA VISTA UNIVERSITY,610 W 4TH ST,STORM LAKE,IA,50588,https://www.bvu.edu/
17,ACADEMY OF ART UNIVERSITY,79 NEW MONTGOMERY,SAN FRANCISCO,CA,94105,www.academyart.edu/
